gender,year,month,day,school,height,pheight,mheight,math,class,games,exercise,TV,weather,hand,computer,vote,GPA_HS,sit,drink,caffeine,sleep,games_hours,friends,morning,commute,distance,GPA_UW,Exam1,gamble1,sport,color,temperature,siblings,birth_order,gamble,prob1,superpower,introvert,pref_age,commute2,age
Female,1997,October,9,In the US but outside of Washington State,65,72,63,Not at all,Not at all,A fair amount,Not at all,Just a little,Just a little,Right,PC,I never (or can't) vote,4.6,In the middle,0,0,7,0,325,An evening person,walk,0.4,3.73,85,No,None of the above,Pink,70,1,1,No,1/2,Flight,agree,4,walk,20.3333
Male,1998,January,8,In the US but outside of Washington State,72,,,Just a little,A fair amount,Very much,A fair amount,Just a little,Not at all,Left,Apple,I never (or can't) vote,3.5,In the middle,0,0,7,1,218,An evening person,bus,1,3.5,95,Yes,None of the above,Blue,65,0,1,Yes,1/2,Flight,disagree,21,walk,20.0833
Male,1995,December,7,In Washington State,68,75,53,Not at all,Not at all,Just a little,Very much,Not at all,,Right,Apple,Democrat,3.9998,In the middle,3,1,8,0,400,An evening person,walk,0.3,2.9,70,No,None of the above,Blue,72,1,1,No,1/2,Flight,disagree,21,walk,22.1667
Female,1995,December,22,In the US but outside of Washington State,65,68,65,Just a little,Just a little,A fair amount,Just a little,A fair amount,A fair amount,Right,Apple,Other,3.5,In the middle,0,5,7,7,546,An evening person,drive,4,3,70,No,American Football,Red,55,0,1,No,1/16,Flight,agree,17,drive,22.1667
Female,1995,December,17,Outside of the US,65,69,63,Just a little,A fair amount,Just a little,Just a little,Just a little,Very much,Right,Apple,I never (or can't) vote,3.74,Toward the back,0,0,8,0,160,A morning person,walk,0.4,3.39,70,No,None of the above,Blue,79,1,1,No,1/2,Invisibility,neutral,,walk,22.1667
Male,1998,March,18,In the US but outside of Washington State,68,66,58,Just a little,A fair amount,Just a little,Very much,Just a little,A fair amount,Right,PC,I never (or can't) vote,3.4,In the middle,2,0,8,0,500,Neither,bus,1,3.1,80,Yes,Basketball,Blue,60,3,3,Yes,1/2,Flight,neutral,25,walk,19.9167
Female,1996,October,17,In Washington State,66,74,63,A fair amount,A fair amount,Just a little,A fair amount,Not at all,Just a little,Right,Apple,Other,4,Near the front,0.5,0.25,6,0,384,An evening person,walk,1,3.3,87,Yes,American Football,Blue,73,2,2,Yes,1/2,Flight,agree,21,walk,21.3333
Female,1995,April,8,In the US but outside of Washington State,63,68,65,Just a little,A fair amount,A fair amount,A fair amount,Just a little,A fair amount,Right,Apple,Democrat,3.9,In the middle,1,1,8,0,660,A morning person,walk,1.2,2.96,90,No,Soccer,Blue,82,1,1,Yes,1/32,Invisibility,disagree,18,walk,22.8333
Female,1996,March,19,In Washington State,63,67,58,Just a little,Not at all,Very much,A fair amount,A fair amount,Very much,Right,PC,Democrat,3.2,Toward the back,6,2,7,2,1000,An evening person,bus,5,3.01,75,No,Basketball,Purple,67,0,1,No,1/16,Invisibility,neutral,30,drive,21.9167
Female,1997,January,5,Outside of the US,66,66,66,Just a little,Just a little,Not at all,A fair amount,A fair amount,Very much,Right,Apple,I never (or can't) vote,3.8,Near the front,5,5,6,0,643,An evening person,bus,1,3.2,95,No,Basketball,Pink,77,3,1,No,1/2,Flight,strongly disagree,21,walk,21.0833
Female,1997,November,11,In Washington State,58,71,62,A fair amount,A fair amount,Just a little,Very much,Not at all,Just a little,Right,PC,I never (or can't) vote,3.7,Near the front,2,2,8,0,1000,An evening person,bus,1,3.6,85,Yes,None of the above,Purple,75,5,2,Yes,1/2,Flight,strongly disagree,21,walk,20.25
Female,1997,January,6,In Washington State,68,76,65,Not at all,Not at all,Just a little,Very much,Very much,Very much,Right,Apple,I never (or can't) vote,3.7,Toward the back,1,0,9,0,531,A morning person,walk,1,3.56,80,No,Basketball,Blue,85,2,3,No,1/2,Flight,neutral,21,walk,21.0833
