gender,year,month,day,school,height,pheight,mheight,math,class,games,exercise,TV,weather,hand,computer,vote,GPA_HS,sit,drink,caffeine,sleep,games_hours,friends,morning,commute,distance,GPA_UW,Exam1,gamble1,sport,color,temperature,siblings,birth_order,gamble,prob1,superpower,introvert,pref_age,commute2,age
Female,1997,March,2,Outside of the US,61,68,67,Just a little,A fair amount,Not at all,Just a little,A fair amount,Not at all,Right,Apple,I never (or can't) vote,3.8,In the middle,0,3,9,0,0,An evening person,walk,1,3.34,93,Yes,None of the above,Blue,74,1,2,Yes,1/2,Flight,agree,13,dorm,20.9167
Female,1998,September,18,In the US but outside of Washington State,60,70,65,Just a little,A fair amount,Just a little,Just a little,Very much,Just a little,Right,PC,Democrat,3.9,Near the front,0,1,8,0,0,An evening person,walk,1.5,3.92,97,No,None of the above,Purple,70,2,3,No,1/2,Flight,strongly agree,5,walk,19.4167
Male,1996,February,12,In Washington State,75,72,66,Just a little,Just a little,Just a little,Not at all,A fair amount,A fair amount,Right,PC,Democrat,3.83,Toward the back,10,2,8,0,1190,An evening person,walk,0.5,2.81,70,Yes,None of the above,Red,93,1,1,Yes,1/2,Flight,disagree,22,dorm,22
Female,1996,November,1,In Washington State,68,71,65,A fair amount,A fair amount,Just a little,A fair amount,A fair amount,A fair amount,Right,Apple,Independent,4,In the middle,8,0,9,0,869,An evening person,bus,1,3.4,100,No,American Football,Red,75,1,2,No,1/2,Invisibility,neutral,22,walk,21.25
Female,1998,June,21,In Washington State,61,70,59,Just a little,Just a little,Just a little,Just a little,Very much,A fair amount,Right,PC,Democrat,3.76,Toward the back,0,0,8,0,372,An evening person,walk,0.25,3.5,89,No,None of the above,Blue,75,1,1,No,1/2,Invisibility,agree,21,walk,19.6667
Female,1995,October,29,In Washington State,66,71,62,Just a little,A fair amount,Just a little,Just a little,A fair amount,Just a little,Right,Apple,Independent,3.8,Near the front,1,1,6,0.5,500,An evening person,drive,25,3.43,85,No,American Football,Blue,70,2,1,No,1/2,Flight,agree,21,drive,22.3333
Female,1996,November,1,Outside of the US,60,72,60,,Just a little,Just a little,Just a little,Just a little,A fair amount,Right,PC,Other,3.2,In the middle,1,0,6,0,603,Neither,walk,1,3.18,90,No,Soccer,Blue,79,1,2,No,1/32,Flight,agree,23,walk,21.25
Female,1995,June,22,In Washington State,66,69,64,Not at all,Just a little,Just a little,Not at all,Very much,Very much,Right,Apple,Democrat,3.96,Toward the back,1,1,8,0,1181,A morning person,walk,0.5,3.5,85,No,American Football,Yellow,60,1,2,No,1/2,Invisibility,agree,27,walk,22.6667
Female,1996,November,18,In Washington State,66,75,64,Just a little,Just a little,A fair amount,Just a little,Very much,A fair amount,Right,Apple,Democrat,3.6,Toward the back,6,2,7,1,489,An evening person,walk,0.6,3.32,60,No,Baseball,Blue,68,6,1,No,1/2,Flight,strongly agree,21,walk,21.25
Female,1995,November,12,In Washington State,71,72,69,A fair amount,Just a little,A fair amount,Just a little,Very much,A fair amount,Right,Apple,Democrat,3.98,Near the front,1,1,7,0,746,An evening person,walk,0.25,3.61,95,Yes,American Football,Green,75,0,1,Yes,1/2,Flight,neutral,25,walk,22.25
Female,1996,September,8,In Washington State,61,62,62,A fair amount,,,Just a little,Not at all,A fair amount,Right,Other,Democrat,3.9,Near the front,0,1,6,1,150,An evening person,bus,8,3.1,85,Yes,None of the above,Pink,68,2,2,No,1/2,Flight,neutral,25,drive,21.4167
Female,1997,May,15,In the US but outside of Washington State,61,71,62,Not at all,Not at all,A fair amount,A fair amount,Very much,Very much,Right,Apple,Democrat,3.97,In the middle,4,0,6,0,1061,An evening person,walk,0.6,3.74,90,Yes,American Football,Blue,75,4,5,Yes,1/2,Invisibility,neutral,8,frat,20.75
Male,1995,December,22,In Washington State,75,72,67,Just a little,A fair amount,Very much,Just a little,Just a little,A fair amount,Right,Apple,Democrat,3.65,Near the front,4,1,7,1,1087,An evening person,walk,0.1,3.4,92,No,American Football,Red,69,1,2,Yes,1/2,Flight,agree,12,walk,22.1667
Male,1993,March,3,In the US but outside of Washington State,73,74,64,Not at all,Not at all,A fair amount,Very much,Just a little,Just a little,Right,Apple,Other,2.1,In the middle,3,1,5,0.2,0,An evening person,crawl,,2.4,100,Yes,American Football,Red,69,2,3,No,1/2,Flight,agree,42,,24.9167
Female,1997,June,9,Outside of the US,60,72,60,A fair amount,A fair amount,,A fair amount,Just a little,Very much,Right,Apple,I never (or can't) vote,4,Near the front,0,0,8,0,200,A morning person,walk,3,3.76,90,Yes,None of the above,Pink,100,1,1,Yes,1/16,Flight,disagree,20,walk,20.6667
Female,1996,August,3,In Washington State,64,71,66,Very much,A fair amount,A fair amount,Very much,Just a little,Very much,Right,Apple,Democrat,3.8,In the middle,1,1,7,0,250,Neither,bus,10,3.2,85,No,None of the above,Orange,72,1,1,Yes,1/2,Invisibility,neutral,25,drive,21.5
Female,1996,July,10,In Washington State,62,72,66,A fair amount,A fair amount,Just a little,A fair amount,Just a little,Very much,Right,Apple,I never (or can't) vote,3.7,Near the front,3,1,6,0,898,An evening person,walk,0.2,3.04,95,No,Soccer,Purple,80,0,1,No,1/2,Invisibility,agree,21,walk,21.5833
Male,1996,June,2,In the US but outside of Washington State,72,71,67,Just a little,Very much,Very much,A fair amount,Just a little,A fair amount,Right,Apple,Democrat,3.9,Near the front,2,0,7,2,20,An evening person,bus,7,3.6,95,No,Soccer,Green,75,3,2,No,1/2,Flight,disagree,28,drive,21.6667
Female,1996,July,21,In Washington State,62,70,63,Not at all,Just a little,Just a little,A fair amount,A fair amount,A fair amount,Right,Apple,I never (or can't) vote,3.5,In the middle,5,2,6,0,400,An evening person,crawl,1.2,2.78,80,No,Soccer,Purple,69,0,1,Yes,1/2,Flight,neutral,21,walk,21.5833
Female,1982,August,16,Outside of the US,63,65,61,Not at all,A fair amount,Not at all,Just a little,A fair amount,Just a little,Right,Apple,I never (or can't) vote,3.7,Near the front,1,1,7,0,15,An evening person,bus,1.4,3.1,85,Yes,Soccer,Purple,75,0,1,Yes,1/64,Invisibility,neutral,20,drive,35.5
Male,1992,May,6,In Washington State,74,72,64,Not at all,A fair amount,A fair amount,A fair amount,Not at all,,Right,Apple,Democrat,2.5,In the middle,0,2,8,1,0,Neither,bus,30,3.7,100,No,Basketball,Purple,88,1,1,No,1/2,Invisibility,disagree,40,drive,25.75
Female,1995,March,13,In Washington State,68,71,71,Not at all,Not at all,Just a little,Very much,Very much,A fair amount,Right,Apple,Democrat,3.4,Toward the back,0,12,8,0,0,An evening person,none of the above,15,2.7,85,No,Basketball,Orange,78,1,1,No,1/4,Flight,neutral,5,drive,22.9167
Female,1996,June,4,In the US but outside of Washington State,68,76,65,Not at all,Just a little,Not at all,A fair amount,Just a little,A fair amount,Right,Apple,Democrat,3.87,In the middle,5,2,7,0,1491,An evening person,walk,0.7,3,80,No,Soccer,Purple,78,1,1,No,1/32,Invisibility,disagree,28,walk,21.6667
Male,1996,December,2,Outside of the US,68,64,62,Not at all,Not at all,Very much,A fair amount,,Just a little,Right,PC,I never (or can't) vote,4,In the middle,5,5,7,2,200,An evening person,walk,1,3,80,No,Basketball,Purple,68,0,1,No,1/2,Flight,neutral,15,walk,21.1667
Female,1995,October,14,In Washington State,64,70,65,Just a little,A fair amount,Just a little,A fair amount,Very much,Just a little,Right,PC,Democrat,3.8,In the middle,2,1,6,0,800,An evening person,bus,1,3.2,80,No,American Football,Pink,75,6,2,No,1/2,Invisibility,neutral,25,drive,22.3333
Female,1996,April,4,Outside of the US,64,62,60,Just a little,Just a little,A fair amount,,A fair amount,Very much,Left,PC,I never (or can't) vote,3.36,Toward the back,2,1,8,1,479,An evening person,walk,0.2,3.28,70,No,None of the above,Blue,81,6,5,No,1/2,Invisibility,neutral,18,walk,21.8333
Female,1997,April,1,Outside of the US,65,70,64,Just a little,A fair amount,A fair amount,Just a little,A fair amount,Very much,Right,Apple,I never (or can't) vote,4,Near the front,0,0,8,1,50,A morning person,walk,1,3.6,95,No,Basketball,Yellow,70,0,1,No,1/2,Flight,agree,1,dorm,20.8333
Female,1998,August,21,In the US but outside of Washington State,63,68,62,Not at all,Just a little,Just a little,A fair amount,Just a little,Just a little,Right,PC,Democrat,4.4,In the middle,0,1.5,7,1,376,Neither,walk,,3.67,90,Yes,None of the above,Blue,60,1,1,Yes,1/2,Invisibility,disagree,22,dorm,19.5
Female,1996,May,28,In Washington State,65,74,62,A fair amount,A fair amount,A fair amount,A fair amount,Very much,Very much,Right,Apple,Democrat,3.8,Toward the back,6,0,9,1,1173,An evening person,walk,0.9,3.2,100,No,American Football,Red,75,1,2,No,1/2,Invisibility,strongly disagree,25,frat,21.75
Female,1996,December,18,In Washington State,63,67,61,Just a little,Just a little,Just a little,Not at all,A fair amount,A fair amount,Right,PC,I never (or can't) vote,4,Near the front,0,0,6,0,35,Neither,bus,13,3.68,90,No,None of the above,Purple,80,1,2,No,1/2,Invisibility,agree,5,drive,21.1667
Female,1994,July,10,Outside of the US,67,70,65,Not at all,Not at all,Just a little,Just a little,Not at all,A fair amount,Right,Apple,I never (or can't) vote,3.8,Toward the back,0,0,10,0,0,An evening person,drive,7,3,80,No,None of the above,Red,74,0,1,No,1/16,Invisibility,agree,10,drive,23.5833
Female,1996,October,24,In Washington State,68,71,68,,A fair amount,Not at all,A fair amount,Just a little,Very much,Right,Apple,Democrat,3.5,Toward the back,5,1,8,0,1189,An evening person,walk,1,3.01,90,Yes,Baseball,Blue,78,2,3,Yes,1/8,Flight,agree,21,walk,21.3333
Male,1994,December,5,In Washington State,74,71,66,A fair amount,A fair amount,Just a little,Very much,A fair amount,Not at all,Right,PC,Democrat,3.9,In the middle,0,0,7.5,1,152,An evening person,bus,3.4,3.68,90,No,Soccer,Green,70,0,1,No,1/2,Invisibility,strongly disagree,16,drive,23.1667
Male,1994,July,23,In Washington State,77,75,67,Not at all,Not at all,Very much,Just a little,Not at all,A fair amount,Right,PC,Democrat,3.5,In the middle,8,0,7,1.5,285,An evening person,walk,0.25,3.1,85,No,American Football,Blue,70,5,5,No,1/2,Flight,disagree,21,walk,23.5833
Female,1998,August,3,In Washington State,64,70,63,Not at all,Just a little,Not at all,Very much,A fair amount,Very much,Right,PC,Democrat,3.8,Near the front,10,1,8,0,536,An evening person,drive,19,3.5,80,No,None of the above,Blue,72,0,0,No,1/2,Invisibility,disagree,19,drive,19.5
Female,1997,February,22,Outside of the US,64,71,63,Very much,Very much,A fair amount,Not at all,Just a little,Just a little,Right,PC,I never (or can't) vote,3.9,In the middle,0,0,7,0,30,A morning person,bus,0.3,3.82,90,Yes,American Football,Blue,74,0,1,Yes,1/2,Invisibility,agree,23,walk,21
Female,1997,February,25,In Washington State,61,66,62,A fair amount,A fair amount,Just a little,Just a little,Very much,A fair amount,Left,PC,Democrat,3.9,In the middle,0,0.5,7.5,0,437,Neither,bus,1.2,3.71,89,No,American Football,Yellow,69,1,1,No,1/2,Flight,disagree,9,walk,21
Female,1998,December,20,In Washington State,63,69,60,Just a little,Just a little,Not at all,Just a little,Just a little,Not at all,Right,Apple,I never (or can't) vote,3.8,In the middle,0,3,8,0,0,An evening person,walk,5,3.5,80,No,None of the above,Red,70,0,1,No,1/2,Invisibility,agree,67,dorm,19.1667
Female,1997,March,27,In Washington State,66,70,64,Just a little,Just a little,Just a little,Very much,A fair amount,Very much,Right,Apple,Independent,3.97,In the middle,2,0,6,0,896,A morning person,walk,1,3.72,85,No,Soccer,Blue,85,1,2,No,1/2,Flight,neutral,24,frat,20.9167
Female,1996,August,15,In Washington State,65,73,58,Just a little,Just a little,Not at all,Just a little,Very much,Just a little,Left,Apple,Democrat,3.8,In the middle,4,1,7,0,1034,An evening person,walk,1.1,3.44,90,Yes,American Football,Purple,75,1,1,Yes,1/2,Invisibility,neutral,35,walk,21.5
Female,1997,July,11,In Washington State,67,73,62,Just a little,Just a little,Very much,Very much,Just a little,A fair amount,Left,Apple,Democrat,3.7,In the middle,0,0,7,0,871,An evening person,bus,25,3.19,70,No,None of the above,Pink,80,2,3,No,1/2,Invisibility,agree,5,drive,20.5833
Female,1997,June,11,In Washington State,65,71,66,Not at all,Not at all,Just a little,A fair amount,A fair amount,Very much,Right,PC,Democrat,3.8,In the middle,10,0,6,0,900,An evening person,walk,0.5,3.7,91,No,American Football,Purple,80,1,1,No,1/2,Flight,disagree,26,frat,20.6667
Female,1996,September,3,In the US but outside of Washington State,66,69,63,Just a little,Just a little,A fair amount,Just a little,Not at all,Just a little,Right,Apple,I never (or can't) vote,4,In the middle,0,0,7,0,122,An evening person,walk,0,3.5,90,No,None of the above,Yellow,79,0,1,Yes,1/2,Invisibility,disagree,18,dorm,21.4167
Female,1997,June,23,In Washington State,65,65,64,A fair amount,A fair amount,A fair amount,A fair amount,Very much,A fair amount,Right,Apple,Democrat,3.7,Near the front,0,0,8,0.5,356,Neither,bus,16,3.6,85,Yes,American Football,Blue,72,1,2,Yes,1/32,Flight,disagree,20,drive,20.6667
Male,1997,October,22,In Washington State,67,64,60,A fair amount,A fair amount,Very much,Not at all,Just a little,A fair amount,Right,PC,I never (or can't) vote,4,Toward the back,0,0.3,7,2,434,An evening person,walk,0.6,3.89,95,Yes,Basketball,Orange,68,2,2,Yes,1/2,Flight,agree,27,dorm,20.3333
Female,1997,September,13,In Washington State,62,68,65,Just a little,Just a little,Not at all,A fair amount,Just a little,Very much,Right,Apple,I never (or can't) vote,3.73,In the middle,5,1,6,0,1000,Neither,walk,15,3.5,90,No,American Football,Purple,75,1,2,Yes,1/2,Invisibility,neutral,25,frat,20.4167
Female,1998,March,20,In Washington State,64,73,66,A fair amount,Just a little,Not at all,Just a little,Very much,Not at all,Right,PC,Republican,3.5,Toward the back,1,0,7,0,190,Neither,bus,1,2.55,75,Yes,American Football,Blue,70,2,2,Yes,1/2,Invisibility,strongly agree,21,walk,19.9167
Female,1998,February,3,In Washington State,63,67,65,Not at all,Just a little,Not at all,A fair amount,Just a little,Just a little,Right,PC,Republican,3.9,In the middle,0,2,8,0,360,An evening person,walk,1,3.6,90,Yes,American Football,Pink,70,1,2,No,1/2,Flight,agree,21,walk,20
Female,1996,September,10,In the US but outside of Washington State,65,65,66,Just a little,Just a little,Not at all,A fair amount,A fair amount,Very much,Right,Apple,I never (or can't) vote,3.75,Toward the back,1,0,6,0,560,An evening person,walk,0.4,3.4,95,No,Basketball,Blue,68,1,2,No,1/2,Flight,neutral,22,walk,21.4167
Female,1994,November,29,In Washington State,62,66,64,A fair amount,A fair amount,Not at all,Just a little,A fair amount,Just a little,Right,Apple,I never (or can't) vote,3.75,In the middle,0,1,7.5,0,465,An evening person,walk,1,3.91,85,Yes,None of the above,Pink,77,1,2,Yes,1/2,Invisibility,agree,,walk,23.25
Female,1997,June,29,Outside of the US,64,70,62,Just a little,A fair amount,Just a little,Not at all,Not at all,Just a little,Right,Apple,I never (or can't) vote,3.5,Near the front,0,0,9,0,0,An evening person,walk,0.3,3.9,90,No,None of the above,Blue,80,0,1,No,1/2,Flight,strongly agree,16,walk,20.6667
Female,1998,February,9,In Washington State,66,74,62,A fair amount,A fair amount,Not at all,Not at all,A fair amount,Very much,Right,PC,Democrat,3.52,In the middle,0,1,7,0,873,An evening person,bus,11,3.47,87,Yes,American Football,Blue,65,0,1,No,1/2,Invisibility,strongly disagree,24,drive,20
Male,1998,May,4,In Washington State,72,67,64,A fair amount,A fair amount,A fair amount,Just a little,Not at all,A fair amount,Right,Apple,Republican,3.72,In the middle,7,0.5,6,0.5,118,A morning person,walk,0.5,3.05,85,Yes,American Football,Blue,80,4,5,Yes,1/2,Flight,disagree,21,frat,19.75
Female,1999,January,9,Outside of the US,60,65,63,Just a little,Just a little,Not at all,A fair amount,Not at all,A fair amount,Right,PC,I never (or can't) vote,3.9,Near the front,0,12,6,0,30,Neither,bus,4,3.8,85,Yes,None of the above,Red,60,1,2,Yes,1/2,Invisibility,neutral,13,drive,19.0833
Female,1996,November,24,In Washington State,66,68,62,Just a little,A fair amount,Not at all,Just a little,A fair amount,A fair amount,Right,PC,Democrat,4,In the middle,1,5,7,0,130,An evening person,bus,0.7,3.93,90,No,None of the above,Pink,75,2,2,No,1/4,Flight,strongly agree,21,drive,21.25
Female,1998,June,14,In Washington State,65,64,63,A fair amount,A fair amount,Just a little,Just a little,Just a little,A fair amount,Right,PC,Republican,3.8,Near the front,0,0,9,0.5,130,An evening person,walk,0.5,3.3,90,No,Basketball,Pink,75,0,1,No,1/2,Invisibility,agree,15,walk,19.6667
Female,1996,October,30,In the US but outside of Washington State,74,80,70,Not at all,Not at all,A fair amount,Very much,A fair amount,Very much,Right,PC,Democrat,3.5,Toward the back,0,0,6,1,0,An evening person,drive,2,3.03,80,No,Basketball,Blue,80,2,2,No,1/64,Flight,agree,28,walk,21.3333
Female,1998,March,5,In Washington State,61,63,60,Just a little,Just a little,A fair amount,Just a little,A fair amount,Not at all,Right,PC,Democrat,3.77,In the middle,0,0,7,1,281,An evening person,walk,65,3.26,73,Yes,American Football,Blue,65,2,3,Yes,1/32,Flight,neutral,24,drive,19.9167
Male,1991,December,20,In the US but outside of Washington State,71,72,68,Just a little,A fair amount,A fair amount,Very much,A fair amount,A fair amount,Right,Apple,Independent,1.7,Near the front,0,0,7,0,0,A morning person,none of the above,18,3.44,85,Yes,American Football,Green,75,3,2,Yes,1/2,Flight,agree,26,drive,26.1667
Female,1996,July,3,In Washington State,65,73,70,Very much,A fair amount,Not at all,Just a little,Just a little,Very much,Right,PC,Democrat,3.4,Near the front,0,3,9,0,0,An evening person,drive,16,2.7,96,Yes,American Football,Purple,85,1,2,Yes,1/2,Flight,neutral,23,drive,21.5833
Female,1994,February,24,In Washington State,61,68,60,,Just a little,Very much,A fair amount,A fair amount,A fair amount,Right,Apple,Democrat,2.5,Near the front,3,1,7,3,200,Neither,walk,2,3,80,Yes,Soccer,Pink,,4,5,No,1/2,Invisibility,strongly agree,21,walk,24
Male,1996,December,14,In Washington State,70,72,68,A fair amount,A fair amount,Very much,Not at all,Just a little,Just a little,Right,Apple,Democrat,3.78,Near the front,0,1,9,2,601,An evening person,bus,2,3.74,95,Yes,American Football,Purple,55,1,1,Yes,1/2,Invisibility,agree,30,drive,21.1667
Female,1997,August,6,In Washington State,60,64,58,A fair amount,A fair amount,Just a little,Just a little,Just a little,A fair amount,Right,Apple,I never (or can't) vote,3.91,In the middle,1,0.5,6,0,615,An evening person,walk,0.4,3.31,90,Yes,None of the above,Blue,75,1,1,No,1/2,Invisibility,neutral,27,dorm,20.5
